run,Mt,Mp,Mlr,Rt,Rp,Vimp,Vesc,vve,b,QS,xi,gamma,Mt_ME,Mp_ME,Mlr_ME
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,1.2819893333333334e+24,5.7331199999999997e+23,1.2819893333333334e+24,4672595.458750138,3573225.209775838,6221.29116966317,5480.348105763892,1.1352,0.9591892245748084,2267.7590821870194,0.0,0.44720496894409933,0.21466666666666667,0.09599999999999999,0.21466666666666667
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,7.246026666666667e+23,6.131253333333334e+23,1.0209333066666667e+24,3863343.771591996,3654094.7045586845,8545.216294061975,4873.790163726672,1.7533,0.373001377838648,8596305.891513687,0.4833116883116883,0.8461538461538461,0.12133333333333332,0.10266666666666667,0.17095333333333332
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,5.5738666666666665e+23,4.967907733333334e+23,5.573866666666667e+23,3539828.627758874,3406600.6040459964,6443.407532894564,4500.843484838338,1.4316,0.8660476558706843,120512.24213227864,1.350847632489578e-16,0.8912857142857145,0.09333333333333332,0.08318666666666667,0.09333333333333334
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,1.0004095333333333e+24,7.998498666666666e+23,1.5873177866666668e+24,4301857.160159667,3992695.628108921,6568.876767300717,5382.560445182496,1.2204,0.35277649260116495,5223307.166127303,0.7337730214036837,0.7995224355785493,0.16751666666666665,0.13393333333333332,0.2657933333333333
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,5.5738666666666665e+23,5.5738666666666665e+23,5.573866666666667e+23,3539828.627758874,3539828.627758874,11641.312250351271,4584.637779753966,2.5392,0.6683,4593672.798637788,1.2039911970146398e-16,1.0,0.09333333333333332,0.09333333333333332,0.09333333333333334
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,1.0766719733333332e+24,6.131253333333334e+23,1.0766719733333335e+24,4408503.413245545,3654094.7045586845,8398.340095155616,5289.293421813588,1.5878,0.963598265924541,3431.0869117663683,4.3781498073259624e-16,0.5694634471027623,0.18028666666666665,0.10266666666666667,0.18028666666666668
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,1.0766719733333332e+24,6.131253333333334e+23,1.5482609066666668e+24,4408503.413245545,3654094.7045586845,6788.808106897741,5289.293421813588,1.2835,0.5012919992053675,2833209.201649816,0.7691558441558446,0.5694634471027623,0.18028666666666665,0.10266666666666667,0.25925333333333334
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,1.5659380266666666e+24,7.839245333333335e+23,1.9620806933333334e+24,4994839.859886576,3966019.0632220334,8904.320233111795,5916.491849243718,1.505,0.3167183004152239,8197609.787472662,0.5053326561706452,0.5006101901759383,0.2622133333333333,0.13126666666666667,0.32854666666666665
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,6.970319333333334e+23,4.681251733333333e+23,1.0407006266666669e+24,3813709.4562327024,3339776.290515556,6527.5207239962565,4662.847863416142,1.3999,0.4972466481037107,2916094.297919327,0.7341384589215857,0.67159788662002,0.11671666666666666,0.07838666666666666,0.17426333333333335
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,1.8671856133333332e+24,5.6712102666666666e+23,2.3587409333333336e+24,5296543.492262311,3560316.6764405444,6229.134028380287,6057.112046266324,1.0284,0.5496962450972681,1326254.7234702879,0.8667555898767952,0.3037303964945574,0.31265666666666664,0.09496333333333333,0.3949666666666667
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,6.8666056e+23,5.5738666666666665e+23,3.0413405333333333e+22,3794699.7013373757,3539828.627758874,31265.7208937182,4758.282232561971,6.5708,0.5172195294928272,68103096.23374093,-1.1773642857142856,0.8117353742679886,0.11497999999999998,0.09333333333333332,0.005092666666666666
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,3.5934519333333335e+24,1.6366664133333334e+24,3.593551466666667e+24,6588208.352968335,5068935.5428273305,8813.024906751762,7738.869781130805,1.1388,0.949872616981889,8455.488207211207,6.081467336434958e-05,0.45545799518045593,0.6017166666666667,0.27405666666666667,0.6017333333333333
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,3.12037e+24,3.0413405333333333e+22,3.150783405333333e+24,6285387.776392027,1342615.7226501603,15957.252166200788,7425.431440763512,2.149,0.7146452960003625,317791.6164068045,0.9999999999999956,0.009746730462519936,0.5225,0.005092666666666666,0.5275926666666666
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,3.593551466666667e+24,1.6366664133333334e+24,5.230217880000001e+24,6588269.180300561,5068935.5428273305,8180.04185228932,7738.923228277503,1.057,0.6020725658055501,2206493.935703547,1.0000000000000007,0.45544538001329493,0.6017333333333333,0.27405666666666667,0.8757900000000002
simArray_Sun_JS_frag_2Gyr_Run002_step.mat,2.1570864000000003e+24,5.856103386666667e+23,2.742696738666667e+24,5557582.165802995,3598594.875045558,6649.039929130895,6323.385572164427,1.0515,0.6325299684732358,886058.7012950768,0.9999999999999999,0.2714820967146548,0.3612,0.09805933333333333,0.45925933333333335
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,5.573866666666664e+23,5.573866666666664e+23,1.1147733333333328e+24,3539828.6277588736,3539828.6277588736,4719.426130478733,4584.637779753966,1.0294,0.97865,319.8763399340636,1.0,1.0,0.09333333333333328,0.09333333333333328,0.18666666666666656
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,6.68864e+23,6.131253333333334e+23,6.68864e+23,3761629.2247258904,3654094.7045586845,5586.798442751869,4803.781980010205,1.163,0.9941601370065457,8.759929954300564,0.0,0.9166666666666667,0.11199999999999999,0.10266666666666667,0.11199999999999999
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,6.68864e+23,5.5738666666666665e+23,1.09478704e+24,3761629.2247258904,3539828.627758874,5872.586741953219,4734.811531043472,1.2403,0.42111531565501953,3482876.3289195974,0.7641428571428572,0.8333333333333334,0.11199999999999999,0.09333333333333332,0.18331999999999998
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,9.475573333333333e+23,6.131253333333334e+23,1.37791956e+24,4224725.969533426,3654094.7045586845,5851.764195121095,5142.147798876183,1.138,0.2167909107385778,5051321.722403905,0.7019155844155843,0.6470588235294118,0.15866666666666665,0.10266666666666667,0.23072999999999996
