J,M,QS,syn,src,lJ,lM,lQS
2.830840459386902,1.0488837878773951,16.348742909310495,1,TM,0.45191539407003833,0.020727372769890607,1.2134843644251294
2.9382781369823396,1.044175449340199,7.555023609737018,1,TM,0.4680929036527816,0.018773477860118393,0.8782358258639898
2.916707712940486,1.0436627368547209,6.816934339554605,1,TM,0.46489291008943584,0.018560177606109892,0.833589110911109
2.934227059324084,1.0431341952966424,6.533314549480615,1,TM,0.4674937178222001,0.01834018237466034,0.8151335680038577
2.8689433170120173,1.0445820553366552,9.020323139506097,1,TM,0.4577219677816963,0.018942560908203076,0.9552220957670703
2.931310046134383,1.045508379791266,8.291950124929865,1,TM,0.46706175641318054,0.019327518055194035,0.9186566812012629
3.0615558342151394,1.0517343588742685,8.137085214238995,1,TM,0.4859421841605882,0.021906062020047502,0.9104688640944208
3.0942909601395465,1.052640844765106,8.486466637034388,1,TM,0.49056114854947164,0.0222802175831649,0.9287269082127452
3.1056860827032584,1.0514468357598368,9.285470244411025,1,TM,0.492157555887181,0.021787318372934437,0.9678039026241558
2.9540666702402834,1.05032628226025,11.104258434440833,1,TM,0.47042029266541036,0.021324232949027452,1.0454895607607717
3.0851022677390496,1.0556610653763678,8.793169622904106,1,TM,0.48926956499117136,0.02352450431130669,0.9441454509109389
2.9613533059188706,1.0500462415564875,8.713080971338686,1,TM,0.47149022422738546,0.02120842479433689,0.9401717499852038
3.0624204801863404,1.054098000346727,9.219368750321271,1,TM,0.48606482048617444,0.022880989464080972,0.964701185951957
3.0933522673567815,1.054206546434346,10.241267699430912,1,TM,0.4904293797696968,0.022925708778469115,1.0103537184358433
3.0488692565529263,1.0540775479552156,11.170488277362985,1,TM,0.4841388010872391,0.022872562878560047,1.0480721571379619
2.844218632468631,1.0440647534100822,9.495556335975312,1,TM,0.4539629771580116,0.01872743465914894,0.9775204147356021
3.012355673780023,1.0518968689968158,8.67943058498944,1,TM,0.47890624841862545,0.02197316242118344,0.9384912341731866
3.1010286512633667,1.0554584927903257,8.599830617218103,1,TM,0.4915057788229752,0.023441158812248935,0.9344898974375278
3.0873923376065617,1.0549710480103631,9.140090310133122,1,TM,0.4895918219766715,0.023240541281227853,0.9609504868715457
3.1033416336550412,1.0549306878512377,10.220368782389892,1,TM,0.4918295878446324,0.02322392610517379,1.0094665667641913
2.7606669211532737,1.0295929075048524,5.868492169071782,1,TM,0.4410140114812745,0.012665542208184591,0.7685265293956359
3.143600088629768,1.043356255182042,8.058878843011776,1,TM,0.49742729234569966,0.01843262409489256,0.9062746266485701
3.2409927718587004,1.0483983368976424,7.175023882190299,1,TM,0.510678062459121,0.020526323342142373,0.8558233509650823
3.3530607909128634,1.0531187384036418,6.885001957387289,1,TM,0.5254414272488853,0.022477340346252213,0.8379040680616975
3.186757439266537,1.0484479206555142,8.441615216519663,1,TM,0.5033490083130605,0.02054686271393674,0.9264255523729088
3.340727027677519,1.0554459886331855,7.513358862080072,1,TM,0.5238409906885245,0.023436013637282777,0.8758341326303991
3.3483974357491046,1.055667826169803,7.289673644541235,1,TM,0.5248370006679296,0.02352728566412568,0.8627080855816885
3.364737362300185,1.0557913138767037,7.650494597439345,1,TM,0.5269511706238098,0.0235780846862179,0.8836895128000464
3.3504880642844475,1.0566647283131514,8.384065849862651,1,TM,0.5251080751522096,0.023937210825841947,0.9234546806749181
3.34489052970653,1.056462035268822,7.428466796732157,1,TM,0.5243819089133033,0.023853894980849152,0.8708991865156741
3.3524761947990935,1.0564726271984983,7.2285790370786644,1,TM,0.5253657027043673,0.023858249130263087,0.8590529339464273
3.351685224143016,1.056371169145246,7.646142670974357,1,TM,0.5252632248040277,0.023816539778362813,0.8834423973501312
3.3016537657158134,1.0413341499201236,6.101702285492748,1,TM,0.5187315281868934,0.017590111048018307,0.785451013709218
3.2906475004003473,1.0440767732623413,6.291199999270803,1,TM,0.5172813624431846,0.018732434469212376,0.7987334917656848
3.374204622620894,1.0444737974628646,5.94729220737687,1,TM,0.5281714160659392,0.018897549380924958,0.7743192771462788
3.3533183339211283,1.0442462625950588,6.1381146796740715,1,TM,0.525474783402874,0.01880292958020663,0.7880349981857967
